id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
5637;Chimoio Airport;Chimoio;Mozambique;VPY;FQCH;2,0
5639;Sarh Airport;Sarh;Chad;SRH;FTTA;1,0
5640;Club Makokola Airport;Club Makokola;Malawi;CMK;FWCM;2,0
5641;Luderitz Airport;Luderitz;Namibia;LUD;FYLZ;1,0
5642;Ondangwa Airport;Ondangwa;Namibia;OND;FYOA;1,0
5643;Oranjemund Airport;Oranjemund;Namibia;OMD;FYOG;1,0
5644;Swakopmund Airport;Swakopmund;Namibia;SWP;FYSM;1,0
5645;Eros Airport;Windhoek;Namibia;ERS;FYWE;1,0
5646;Boma Airport;Boma;Congo (Kinshasa);BOA;FZAJ;1,0
5647;Tshimpi Airport;Matadi;Congo (Kinshasa);MAT;FZAM;1,0
5648;Inongo Airport;Inongo;Congo (Kinshasa);INO;FZBA;1,0
5649;Nioki Airport;Nioki;Congo (Kinshasa);NIO;FZBI;1,0
5650;Basango Mboliasa Airport;Kiri;Congo (Kinshasa);KRZ;FZBT;1,0
5651;Basankusu Airport;Basankusu;Congo (Kinshasa);BSU;FZEN;1,0
5652;Tshikapa Airport;Tshikapa;Congo (Kinshasa);TSH;FZUK;2,0
5653;Lodja Airport;Lodja;Congo (Kinshasa);LJA;FZVA;2,0
5654;Ilebo Airport;Ilebo;Congo (Kinshasa);PFR;FZVS;2,0
5659;La Gomera Airport;La Gomera;Spain;GMZ;GCGM;0,0
5662;Sherbro International Airport;Bonthe;Sierra Leone;BTE;GFBN;0,0
5663;Bo Airport;Bo;Sierra Leone;KBS;GFBO;0,0
5664;Kenema Airport;Kenema;Sierra Leone;KEN;GFKE;0,0
5665;Osvaldo Vieira International Airport;Bissau;Guinea-Bissau;OXB;GGOV;0,0
5669;Smara Airport;Smara;Western Sahara;SMW;GMMA;0,0
5670;Dakhla Airport;Dakhla;Western Sahara;VIL;GMMH;0,0
5671;Mogador Airport;Essadouira;Morocco;ESU;GMMI;0,0
5672;Hassan I Airport;El Aaiún;Western Sahara;EUN;GMML;0,0
5673;Nador International Airport;El Aroui;Morocco;NDR;GMMW;0,0
5674;Praia International Airport;Praia, Santiago Island;Cape Verde;RAI;GVNP;-1,0
5675;São Filipe Airport;Sao Filipe, Fogo Island;Cape Verde;SFL;GVSF;-1,0
5676;Baco Airport;Baco;Ethiopia;BCO;HABC;3,0
5677;Beica Airport;Beica;Ethiopia;BEI;HABE;3,0
5678;Combolcha Airport;Dessie;Ethiopia;DSE;HADC;3,0
5679;Dembidollo Airport;Dembidollo;Ethiopia;DEM;HADD;3,0
5680;Gode Airport;Gode;Ethiopia;GDE;HAGO;3,0
5681;Gore Airport;Gore;Ethiopia;GOR;HAGR;3,0
5682;Kabri Dehar Airport;Kabri Dehar;Ethiopia;ABK;HAKD;3,0
5683;Mizan Teferi Airport;Mizan Teferi;Ethiopia;MTF;HAMT;3,0
5684;Tippi Airport;Tippi;Ethiopia;TIE;HATP;3,0
5685;Alula Airport;Alula;Somalia;ALU;HCMA;3,0
5686;Bosaso Airport;Bosaso;Somalia;BSA;HCMF;3,0
5687;Aden Adde International Airport;Mogadishu;Somalia;MGQ;HCMM;3,0
5688;Galcaio Airport;Galcaio;Somalia;GLK;HCMR;3,0
