id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
1;Goroka Airport;Goroka;Papua New Guinea;GKA;AYGA;10,0
2;Madang Airport;Madang;Papua New Guinea;MAG;AYMD;10,0
3;Mount Hagen Kagamuga Airport;Mount Hagen;Papua New Guinea;HGU;AYMH;10,0
4;Nadzab Airport;Nadzab;Papua New Guinea;LAE;AYNZ;10,0
5;Port Moresby Jacksons International Airport;Port Moresby;Papua New Guinea;POM;AYPY;10,0
6;Wewak International Airport;Wewak;Papua New Guinea;WWK;AYWK;10,0
7;Narsarsuaq Airport;Narssarssuaq;Greenland;UAK;BGBW;-3,0
8;Godthaab / Nuuk Airport;Godthaab;Greenland;GOH;BGGH;-3,0
9;Kangerlussuaq Airport;Sondrestrom;Greenland;SFJ;BGSF;-3,0
10;Thule Air Base;Thule;Greenland;THU;BGTL;-4,0
11;Akureyri Airport;Akureyri;Iceland;AEY;BIAR;0,0
12;Egilsstaðir Airport;Egilsstadir;Iceland;EGS;BIEG;0,0
13;Hornafjörður Airport;Hofn;Iceland;HFN;BIHN;0,0
14;Húsavík Airport;Husavik;Iceland;HZK;BIHU;0,0
15;Ísafjörður Airport;Isafjordur;Iceland;IFJ;BIIS;0,0
16;Keflavik International Airport;Keflavik;Iceland;KEF;BIKF;0,0
17;Patreksfjörður Airport;Patreksfjordur;Iceland;PFJ;BIPA;0,0
18;Reykjavik Airport;Reykjavik;Iceland;RKV;BIRK;0,0
19;Siglufjörður Airport;Siglufjordur;Iceland;SIJ;BISI;0,0
20;Vestmannaeyjar Airport;Vestmannaeyjar;Iceland;VEY;BIVM;0,0
21;Sault Ste Marie Airport;Sault Sainte Marie;Canada;YAM;CYAM;-5,0
22;Winnipeg / St. Andrews Airport;Winnipeg;Canada;YAV;CYAV;-6,0
23;Halifax / CFB Shearwater Heliport;Halifax;Canada;YAW;CYAW;-4,0
24;St. Anthony Airport;St. Anthony;Canada;YAY;CYAY;-3.5
25;Tofino / Long Beach Airport;Tofino;Canada;YAZ;CYAZ;-8,0
26;Kugaaruk Airport;Pelly Bay;Canada;YBB;CYBB;-7,0
27;Baie Comeau Airport;Baie Comeau;Canada;YBC;CYBC;-5,0
28;CFB Bagotville;Bagotville;Canada;YBG;CYBG;-5,0
29;Baker Lake Airport;Baker Lake;Canada;YBK;CYBK;-6,0
30;Campbell River Airport;Campbell River;Canada;YBL;CYBL;-8,0
31;Brandon Municipal Airport;Brandon;Canada;YBR;CYBR;-6,0
32;Cambridge Bay Airport;Cambridge Bay;Canada;YCB;CYCB;-7,0
33;Nanaimo Airport;Nanaimo;Canada;YCD;CYCD;-8,0
34;Castlegar/West Kootenay Regional Airport;Castlegar;Canada;YCG;CYCG;-8,0
35;Miramichi Airport;Chatham;Canada;YCH;CYCH;-4,0
36;Charlo Airport;Charlo;Canada;YCL;CYCL;-4,0
37;Kugluktuk Airport;Coppermine;Canada;YCO;CYCO;-7,0
38;Coronation Airport;Coronation;Canada;YCT;CYCT;-7,0
39;Chilliwack Airport;Chilliwack;Canada;YCW;CYCW;-8,0
40;Clyde River Airport;Clyde River;Canada;YCY;CYCY;-5,0
41;Coral Harbour Airport;Coral Harbour;Canada;YZS;CYZS;-5,0
42;Dawson City Airport;Dawson;Canada;YDA;CYDA;-8,0
43;Burwash Airport;Burwash;Canada;YDB;CYDB;-8,0
44;Princeton Airport;Princeton;Canada;YDC;CYDC;-8,0
45;Deer Lake Airport;Deer Lake;Canada;YDF;CYDF;-3.5
46;Dease Lake Airport;Dease Lake;Canada;YDL;CYDL;-8,0
47;Dauphin Barker Airport;Dauphin;Canada;YDN;CYDN;-6,0
48;Dawson Creek Airport;Dawson Creek;Canada;YDQ;CYDQ;-7,0
49;Edmonton International Airport;Edmonton;Canada;YEG;CYEG;-7,0
50;Arviat Airport;Eskimo Point;Canada;YEK;CYEK;-6,0
51;Estevan Airport;Estevan;Canada;YEN;CYEN;-6,0
52;Edson Airport;Edson;Canada;YET;CYET;-7,0
53;Eureka Airport;Eureka;Canada;YEU;CYEU;-6,0
54;Inuvik Mike Zubko Airport;Inuvik;Canada;YEV;CYEV;-7,0
55;Iqaluit Airport;Iqaluit;Canada;YFB;CYFB;-5,0
56;Fredericton Airport;Fredericton;Canada;YFC;CYFC;-4,0
57;Forestville Airport;Forestville;Canada;Null;CYFE;-5,0
58;Flin Flon Airport;Flin Flon;Canada;YFO;CYFO;-6,0
59;Fort Resolution Airport;Fort Resolution;Canada;YFR;CYFR;-7,0
60;Fort Simpson Airport;Fort Simpson;Canada;YFS;CYFS;-7,0
61;Kingston Norman Rogers Airport;Kingston;Canada;YGK;CYGK;-5,0
62;La Grande Rivière Airport;La Grande Riviere;Canada;YGL;CYGL;-5,0
63;Gaspé (Michel-Pouliot) Airport;Gaspe;Canada;YGP;CYGP;-5,0
64;Geraldton Greenstone Regional Airport;Geraldton;Canada;YGQ;CYGQ;-5,0
65;Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada;YGR;CYGR;-5,0
66;Hudson Bay Airport;Hudson Bay;Canada;YHB;CYHB;-6,0
67;Dryden Regional Airport;Dryden;Canada;YHD;CYHD;-6,0
68;Ulukhaktok Holman Airport;Holman Island;Canada;YHI;CYHI;-7,0
69;Gjoa Haven Airport;Gjoa Haven;Canada;YHK;CYHK;-7,0
70;John C. Munro Hamilton International Airport;Hamilton;Canada;YHM;CYHM;-5,0
71;Montréal / Saint-Hubert Airport;Montreal;Canada;YHU;CYHU;-5,0
72;Hay River / Merlyn Carter Airport;Hay River;Canada;YHY;CYHY;-7,0
73;Halifax / Stanfield International Airport;Halifax;Canada;YHZ;CYHZ;-4,0
74;Atikokan Municipal Airport;Atikokan;Canada;YIB;CYIB;-5,0
75;Pond Inlet Airport;Pond Inlet;Canada;YIO;CYIO;-5,0
76;St Jean Airport;St. Jean;Canada;YJN;CYJN;-5,0
77;Stephenville Airport;Stephenville;Canada;YJT;CYJT;-3.5
78;Kamloops Airport;Kamloops;Canada;YKA;CYKA;-8,0
79;Waterloo Airport;Waterloo;Canada;YKF;CYKF;-5,0
80;Schefferville Airport;Schefferville;Canada;YKL;CYKL;-5,0
81;Kindersley Airport;Kindersley;Canada;YKY;CYKY;-6,0
82;Buttonville Municipal Airport;Toronto;Canada;YKZ;CYKZ;-5,0
83;Chapleau Airport;Chapleau;Canada;YLD;CYLD;-5,0
84;Meadow Lake Airport;Meadow Lake;Canada;YLJ;CYLJ;-6,0
85;Lloydminster Airport;Lloydminster;Canada;YLL;CYLL;-7,0
86;Alert Airport;Alert;Canada;YLT;CYLT;-5,0
87;Kelowna International Airport;Kelowna;Canada;YLW;CYLW;-8,0
88;Mayo Airport;Mayo;Canada;YMA;CYMA;-8,0
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;YMJ;CYMJ;-6,0
90;Fort McMurray Airport;Fort Mcmurray;Canada;YMM;CYMM;-7,0
91;Moosonee Airport;Moosonee;Canada;YMO;CYMO;-5,0
92;Maniwaki Airport;Maniwaki;Canada;YMW;CYMW;-5,0
93;Montreal International (Mirabel) Airport;Montreal;Canada;YMX;CYMX;-5,0
94;Natashquan Airport;Natashquan;Canada;YNA;CYNA;-5,0
95;Ottawa / Gatineau Airport;Gatineau;Canada;YND;CYND;-5,0
96;Matagami Airport;Matagami;Canada;YNM;CYNM;-5,0
97;Old Crow Airport;Old Crow;Canada;YOC;CYOC;-8,0
98;CFB Cold Lake;Cold Lake;Canada;YOD;CYOD;-7,0
99;High Level Airport;High Level;Canada;YOJ;CYOJ;-7,0
100;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;YOW;CYOW;-5,0
101;Prince Albert Glass Field;Prince Albert;Canada;YPA;CYPA;-6,0
102;Peace River Airport;Peace River;Canada;YPE;CYPE;-7,0
103;Southport Airport;Portage-la-prairie;Canada;YPG;CYPG;-6,0
104;Pitt Meadows Airport;Pitt Meadows;Canada;Null;CYPK;-8,0
105;Pickle Lake Airport;Pickle Lake;Canada;YPL;CYPL;-5,0
106;Port Menier Airport;Port Menier;Canada;YPN;CYPN;-5,0
107;Peterborough Airport;Peterborough;Canada;YPQ;CYPQ;-5,0
108;Prince Rupert Airport;Prince Pupert;Canada;YPR;CYPR;-8,0
109;Fort Chipewyan Airport;Fort Chipewyan;Canada;YPY;CYPY;-7,0
110;Muskoka Airport;Muskoka;Canada;YQA;CYQA;-5,0
111;Quebec Jean Lesage International Airport;Quebec;Canada;YQB;CYQB;-5,0
112;Red Deer Regional Airport;Red Deer Industrial;Canada;YQF;CYQF;-7,0
113;Windsor Airport;Windsor;Canada;YQG;CYQG;-5,0
114;Watson Lake Airport;Watson Lake;Canada;YQH;CYQH;-8,0
115;Kenora Airport;Kenora;Canada;YQK;CYQK;-6,0
116;Lethbridge County Airport;Lethbridge;Canada;YQL;CYQL;-7,0
117;Greater Moncton International Airport;Moncton;Canada;YQM;CYQM;-4,0
119;Comox Airport;Comox;Canada;YQQ;CYQQ;-8,0
120;Regina International Airport;Regina;Canada;YQR;CYQR;-6,0
121;Thunder Bay Airport;Thunder Bay;Canada;YQT;CYQT;-5,0
122;Grande Prairie Airport;Grande Prairie;Canada;YQU;CYQU;-7,0
123;Yorkton Municipal Airport;Yorkton;Canada;YQV;CYQV;-6,0
124;North Battleford Airport;North Battleford;Canada;YQW;CYQW;-6,0
125;Gander International Airport;Gander;Canada;YQX;CYQX;-3.5
126;Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada;YQY;CYQY;-4,0
127;Quesnel Airport;Quesnel;Canada;YQZ;CYQZ;-8,0
128;Resolute Bay Airport;Resolute;Canada;YRB;CYRB;-6,0
129;Rivière-du-Loup Airport;Riviere Du Loup;Canada;YRI;CYRI;-5,0
130;Roberval Airport;Roberval;Canada;YRJ;CYRJ;-5,0
131;Rocky Mountain House Airport;Rocky Mountain House;Canada;YRM;CYRM;-7,0
132;Rankin Inlet Airport;Rankin Inlet;Canada;YRT;CYRT;-6,0
133;Sudbury Airport;Sudbury;Canada;YSB;CYSB;-5,0
134;Sherbrooke Airport;Sherbrooke;Canada;YSC;CYSC;-5,0
135;Saint John Airport;St. John;Canada;YSJ;CYSJ;-4,0
136;Fort Smith Airport;Fort Smith;Canada;YSM;CYSM;-7,0
137;Nanisivik Airport;Nanisivik;Canada;YSR;CYSR;-5,0
138;Summerside Airport;Summerside;Canada;YSU;CYSU;-4,0
139;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada;YSY;CYSY;-7,0
140;Cape Dorset Airport;Cape Dorset;Canada;YTE;CYTE;-5,0
141;Thompson Airport;Thompson;Canada;YTH;CYTH;-6,0
142;CFB Trenton;Trenton;Canada;YTR;CYTR;-5,0
143;Timmins/Victor M. Power;Timmins;Canada;YTS;CYTS;-5,0
144;Billy Bishop Toronto City Centre Airport;Toronto;Canada;YTZ;CYTZ;-5,0
145;Tuktoyaktuk Airport;Tuktoyaktuk;Canada;YUB;CYUB;-7,0
146;Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada;YUL;CYUL;-5,0
147;Repulse Bay Airport;Repulse Bay;Canada;YUT;CYUT;-6,0
148;Hall Beach Airport;Hall Beach;Canada;YUX;CYUX;-5,0
149;Rouyn Noranda Airport;Rouyn;Canada;YUY;CYUY;-5,0
150;La Ronge Airport;La Ronge;Canada;YVC;CYVC;-6,0
151;Vermilion Airport;Vermillion;Canada;YVG;CYVG;-7,0
152;Qikiqtarjuaq Airport;Broughton Island;Canada;YVM;CYVM;-5,0
153;Val-d'Or Airport;Val D'or;Canada;YVO;CYVO;-5,0
154;Kuujjuaq Airport;Quujjuaq;Canada;YVP;CYVP;-5,0
155;Norman Wells Airport;Norman Wells;Canada;YVQ;CYVQ;-7,0
156;Vancouver International Airport;Vancouver;Canada;YVR;CYVR;-8,0
157;Buffalo Narrows Airport;Buffalo Narrows;Canada;YVT;CYVT;-6,0
158;Wiarton Airport;Wiarton;Canada;YVV;CYVV;-5,0
159;Petawawa Airport;Petawawa;Canada;YWA;CYWA;-5,0
160;Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada;YWG;CYWG;-6,0
161;Wabush Airport;Wabush;Canada;YWK;CYWK;-4,0
162;Williams Lake Airport;Williams Lake;Canada;YWL;CYWL;-8,0
163;Wrigley Airport;Wrigley;Canada;YWY;CYWY;-7,0
164;Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada;YXC;CYXC;-7,0
165;Edmonton City Centre (Blatchford Field) Airport;Edmonton;Canada;YXD;CYXD;-7,0
166;Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada;YXE;CYXE;-6,0
167;Medicine Hat Airport;Medicine Hat;Canada;YXH;CYXH;-7,0
168;Fort St John Airport;Fort Saint John;Canada;YXJ;CYXJ;-7,0
169;Sioux Lookout Airport;Sioux Lookout;Canada;YXL;CYXL;-6,0
170;Pangnirtung Airport;Pangnirtung;Canada;YXP;CYXP;-5,0
171;Earlton (Timiskaming Regional) Airport;Earlton;Canada;YXR;CYXR;-5,0
172;Prince George Airport;Prince George;Canada;YXS;CYXS;-8,0
173;Northwest Regional Airport Terrace-Kitimat;Terrace;Canada;YXT;CYXT;-8,0
174;London Airport;London;Canada;YXU;CYXU;-5,0
175;Abbotsford Airport;Abbotsford;Canada;YXX;CYXX;-8,0
176;Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada;YXY;CYXY;-8,0
177;North Bay Airport;North Bay;Canada;YYB;CYYB;-5,0
178;Calgary International Airport;Calgary;Canada;YYC;CYYC;-7,0
179;Smithers Airport;Smithers;Canada;YYD;CYYD;-8,0
180;Fort Nelson Airport;Fort Nelson;Canada;YYE;CYYE;-8,0
181;Penticton Airport;Penticton;Canada;YYF;CYYF;-8,0
182;Charlottetown Airport;Charlottetown;Canada;YYG;CYYG;-4,0
183;Taloyoak Airport;Spence Bay;Canada;YYH;CYYH;-7,0
184;Victoria International Airport;Victoria;Canada;YYJ;CYYJ;-8,0
185;Lynn Lake Airport;Lynn Lake;Canada;YYL;CYYL;-6,0
186;Swift Current Airport;Swift Current;Canada;YYN;CYYN;-6,0
187;Churchill Airport;Churchill;Canada;YYQ;CYYQ;-6,0
188;Goose Bay Airport;Goose Bay;Canada;YYR;CYYR;-4,0
189;St. John's International Airport;St. John's;Canada;YYT;CYYT;-3.5
190;Kapuskasing Airport;Kapuskasing;Canada;YYU;CYYU;-5,0
191;Armstrong Airport;Armstrong;Canada;YYW;CYYW;-5,0
192;Mont Joli Airport;Mont Joli;Canada;YYY;CYYY;-5,0
193;Lester B. Pearson International Airport;Toronto;Canada;YYZ;CYYZ;-5,0
194;Downsview Airport;Toronto;Canada;YZD;CYZD;-5,0
195;Gore Bay Manitoulin Airport;Gore Bay;Canada;YZE;CYZE;-5,0
196;Yellowknife Airport;Yellowknife;Canada;YZF;CYZF;-7,0
197;Slave Lake Airport;Slave Lake;Canada;YZH;CYZH;-7,0
198;Sandspit Airport;Sandspit;Canada;YZP;CYZP;-8,0
199;Chris Hadfield Airport;Sarnia;Canada;YZR;CYZR;-5,0
200;Port Hardy Airport;Port Hardy;Canada;YZT;CYZT;-8,0
201;Whitecourt Airport;Whitecourt;Canada;YZU;CYZU;-7,0
202;Sept-Îles Airport;Sept-iles;Canada;YZV;CYZV;-5,0
203;Teslin Airport;Teslin;Canada;YZW;CYZW;-8,0
204;CFB Greenwood;Greenwood;Canada;YZX;CYZX;-4,0
205;Faro Airport;Faro;Canada;ZFA;CZFA;-8,0
206;Fort Mcpherson Airport;Fort Mcpherson;Canada;ZFM;CZFM;-7,0
207;Blida Airport;Blida;Algeria;Null;DAAB;1,0
208;Bou Saada Airport;Bou Saada;Algeria;Null;DAAD;1,0
209;Soummam Airport;Bejaja;Algeria;BJA;DAAE;1,0
210;Houari Boumediene Airport;Algier;Algeria;ALG;DAAG;1,0
211;Djanet Inedbirene Airport;Djanet;Algeria;DJG;DAAJ;1,0
212;Boufarik Airport;Boufarik;Algeria;QFD;DAAK;1,0
213;Reggane Airport;Reggan;Algeria;Null;DAAN;1,0
214;Illizi Takhamalt Airport;Illizi;Algeria;VVZ;DAAP;1,0
215;Ain Oussera Airport;Ain Oussera;Algeria;Null;DAAQ;1,0
216;Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria;TMR;DAAT;1,0
217;Jijel Ferhat Abbas Airport;Jijel;Algeria;GJL;DAAV;1,0
218;Mecheria Airport;Mecheria;Algeria;Null;DAAY;1,0
219;Relizane Airport;Relizane;Algeria;Null;DAAZ;1,0
220;Annaba Airport;Annaba;Algeria;AAE;DABB;1,0
221;Mohamed Boudiaf International Airport;Constantine;Algeria;CZL;DABC;1,0
222;Cheikh Larbi Tébessi Airport;Tebessa;Algeria;TEE;DABS;1,0
224;Hassi R'Mel Airport;Tilrempt;Algeria;HRM;DAFH;1,0
225;Bou Chekif Airport;Tiaret;Algeria;TID;DAOB;1,0
226;Bou Sfer Airport;Bou Sfer;Algeria;Null;DAOE;1,0
227;Tindouf Airport;Tindouf;Algeria;TIN;DAOF;1,0
228;Ech Cheliff Airport;Ech-cheliff;Algeria;QAS;DAOI;1,0
229;Tafaraoui Airport;Oran;Algeria;TAF;DAOL;1,0
230;Zenata – Messali El Hadj Airport;Tlemcen;Algeria;TLM;DAON;1,0
231;Es Senia Airport;Oran;Algeria;ORN;DAOO;1,0
232;Sidi Bel Abbes Airport;Sidi Bel Abbes;Algeria;Null;DAOS;1,0
233;Ghriss Airport;Ghriss;Algeria;MUW;DAOV;1,0
234;Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria;AZR;DAUA;1,0
235;Biskra Airport;Biskra;Algeria;BSK;DAUB;1,0
236;El Golea Airport;El Golea;Algeria;ELG;DAUE;1,0
237;Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria;GHA;DAUG;1,0
238;Oued Irara Airport;Hassi Messaoud;Algeria;HME;DAUH;1,0
239;In Salah Airport;In Salah;Algeria;INZ;DAUI;1,0
240;Touggourt Sidi Madhi Airport;Touggourt;Algeria;TGR;DAUK;1,0
241;Laghouat Airport;Laghouat;Algeria;LOO;DAUL;1,0
242;Timimoun Airport;Timimoun;Algeria;TMX;DAUT;1,0
243;Ain el Beida Airport;Ouargla;Algeria;OGX;DAUU;1,0
244;In Aménas Airport;Zarzaitine;Algeria;IAM;DAUZ;1,0
245;Cadjehoun Airport;Cotonou;Benin;COO;DBBB;1,0
246;Ouagadougou Airport;Ouagadougou;Burkina Faso;OUA;DFFD;0,0
247;Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso;BOY;DFOO;0,0
248;Kotoka International Airport;Accra;Ghana;ACC;DGAA;0,0
249;Tamale Airport;Tamale;Ghana;TML;DGLE;0,0
250;Wa Airport;Wa;Ghana;Null;DGLW;0,0
251;Sunyani Airport;Sunyani;Ghana;NYI;DGSN;0,0
252;Takoradi Airport;Takoradi;Ghana;TKD;DGTK;0,0
253;Port Bouet Airport;Abidjan;Cote d'Ivoire;ABJ;DIAP;0,0
254;Bouaké Airport;Bouake;Cote d'Ivoire;BYK;DIBK;0,0
255;Daloa Airport;Daloa;Cote d'Ivoire;DJO;DIDL;0,0
256;Korhogo Airport;Korhogo;Cote d'Ivoire;HGO;DIKO;0,0
257;Man Airport;Man;Cote d'Ivoire;MJC;DIMN;0,0
258;San Pedro Airport;San Pedro;Cote d'Ivoire;SPY;DISP;0,0
259;Yamoussoukro Airport;Yamoussoukro;Cote d'Ivoire;ASK;DIYO;0,0
260;Nnamdi Azikiwe International Airport;Abuja;Nigeria;ABV;DNAA;1,0
261;Akure Airport;Akure;Nigeria;AKR;DNAK;1,0
262;Benin Airport;Benin;Nigeria;BNI;DNBE;1,0
263;Margaret Ekpo International Airport;Calabar;Nigeria;CBQ;DNCA;1,0
264;Akanu Ibiam International Airport;Enugu;Nigeria;ENU;DNEN;1,0
265;Gusau Airport;Gusau;Nigeria;QUS;DNGU;1,0
266;Ibadan Airport;Ibadan;Nigeria;IBA;DNIB;1,0
267;Ilorin International Airport;Ilorin;Nigeria;ILR;DNIL;1,0
268;Yakubu Gowon Airport;Jos;Nigeria;JOS;DNJO;1,0
269;Kaduna Airport;Kaduna;Nigeria;KAD;DNKA;1,0
270;Mallam Aminu International Airport;Kano;Nigeria;KAN;DNKN;1,0
271;Maiduguri International Airport;Maiduguri;Nigeria;MIU;DNMA;1,0
272;Makurdi Airport;Makurdi;Nigeria;MDI;DNMK;1,0
273;Murtala Muhammed International Airport;Lagos;Nigeria;LOS;DNMM;1,0
274;Minna Airport;Minna;Nigeria;MXJ;DNMN;1,0
275;Port Harcourt International Airport;Port Hartcourt;Nigeria;PHC;DNPO;1,0
276;Sadiq Abubakar III International Airport;Sokoto;Nigeria;SKO;DNSO;1,0
277;Yola Airport;Yola;Nigeria;YOL;DNYO;1,0
278;Zaria Airport;Zaria;Nigeria;ZAR;DNZA;1,0
279;Maradi Airport;Maradi;Niger;MFQ;DRRM;1,0
280;Diori Hamani International Airport;Niamey;Niger;NIM;DRRN;1,0
281;Tahoua Airport;Tahoua;Niger;THZ;DRRT;1,0
282;Mano Dayak International Airport;Agadez;Niger;AJY;DRZA;1,0
283;Dirkou Airport;Dirkou;Niger;Null;DRZD;1,0
284;Diffa Airport;Diffa;Niger;Null;DRZF;1,0
285;Zinder Airport;Zinder;Niger;ZND;DRZR;1,0
286;Monastir Habib Bourguiba International Airport;Monastir;Tunisia;MIR;DTMB;1,0
287;Tunis Carthage International Airport;Tunis;Tunisia;TUN;DTTA;1,0
288;Sidi Ahmed Air Base;Bizerte;Tunisia;Null;DTTB;1,0
289;Remada Air Base;Remada;Tunisia;Null;DTTD;1,0
290;Gafsa Ksar International Airport;Gafsa;Tunisia;GAF;DTTF;1,0
291;Gabès Matmata International Airport;Gabes;Tunisia;GAE;DTTG;1,0
292;Borj El Amri Airport;Bordj El Amri;Tunisia;Null;DTTI;1,0
293;Djerba Zarzis International Airport;Djerba;Tunisia;DJE;DTTJ;1,0
294;El Borma Airport;El Borma;Tunisia;EBM;DTTR;1,0
295;Sfax Thyna International Airport;Sfax;Tunisia;SFA;DTTX;1,0
296;Tozeur Nefta International Airport;Tozeur;Tunisia;TOE;DTTZ;1,0
297;Niamtougou International Airport;Niatougou;Togo;LRL;DXNG;0,0
298;Lomé-Tokoin Airport;Lome;Togo;LFW;DXXX;0,0
299;Antwerp International Airport (Deurne);Antwerp;Belgium;ANR;EBAW;1,0
300;Beauvechain Air Base;Beauvechain;Belgium;Null;EBBE;1,0
301;Kleine Brogel Air Base;Kleine Brogel;Belgium;Null;EBBL;1,0
302;Brussels Airport;Brussels;Belgium;BRU;EBBR;1,0
303;Jehonville Air Base;Bertrix;Belgium;Null;EBBX;1,0
304;Brussels South Charleroi Airport;Charleroi;Belgium;CRL;EBCI;1,0
305;Chièvres Air Base;Chievres;Belgium;Null;EBCV;1,0
306;Koksijde Air Base;Koksijde;Belgium;Null;EBFN;1,0
307;Florennes Air Base;Florennes;Belgium;Null;EBFS;1,0
308;Wevelgem Airport;Kortrijk-vevelgem;Belgium;QKT;EBKT;1,0
309;Liège Airport;Liege;Belgium;LGG;EBLG;1,0
310;Ostend-Bruges International Airport;Ostend;Belgium;OST;EBOS;1,0
311;Zutendaal Air Base;Zutendaal;Belgium;Null;EBSL;1,0
312;Limburg Regional Airport;Sint-truiden;Belgium;Null;EBST;1,0
313;Saint Hubert Air Base;St.-hubert;Belgium;Null;EBSU;1,0
314;Ursel Air Base;Ursel;Belgium;Null;EBUL;1,0
315;Weelde Air Base;Weelde;Belgium;Null;EBWE;1,0
316;Oostmalle Air Base;Zoersel;Belgium;Null;EBZR;1,0
317;Bautzen Airport;Bautzen;Germany;Null;EDAB;1,0
318;Altenburg-Nobitz Airport;Altenburg;Germany;AOC;EDAC;1,0
319;Dessau Airport;Dessau;Germany;Null;EDAD;1,0
320;Eisenhüttenstadt Airport;Eisenhuettenstadt;Germany;Null;EDAE;1,0
322;Großenhain Airport;Suhl;Germany;Null;EDAK;1,0
323;Merseburg Airport;Muehlhausen;Germany;Null;EDAM;1,0
324;Halle-Oppin Airport;Halle;Germany;Null;EDAQ;1,0
325;Riesa-Göhlis Airport;Riesa;Germany;Null;EDAU;1,0
326;Rechlin-Lärz Airport;Rechlin-laerz;Germany;Null;EDAX;1,0
327;Strausberg Airport;Strausberg;Germany;Null;EDAY;1,0
328;Schönhagen Airport;Schoenhagen;Germany;Null;EDAZ;1,0
329;Barth Airport;Barth;Germany;BBH;EDBH;1,0
330;Jena-Schöngleina Airport;Jena;Germany;Null;EDBJ;1,0
331;Kyritz Airport;Kyritz;Germany;Null;EDBK;1,0
332;"Magdeburg \City\"" Airport""";Magdeburg;Germany;Null;EDBM;1,0
333;Rothenburg/Görlitz Airport;Rothenburg/ol;Germany;Null;EDBR;1,0
334;Anklam Airport;Anklam;Germany;Null;EDCA;1,0
335;Cottbus-Drewitz Airport;Cottbus;Germany;Null;EDCD;1,0
336;Kamenz Airport;Kamenz;Germany;Null;EDCM;1,0
337;Berlin-Schönefeld International Airport;Berlin;Germany;SXF;EDDB;1,0
338;Dresden Airport;Dresden;Germany;DRS;EDDC;1,0
339;Erfurt Airport;Erfurt;Germany;ERF;EDDE;1,0
340;Frankfurt am Main International Airport;Frankfurt;Germany;FRA;EDDF;1,0
341;Münster Osnabrück Airport;Munster;Germany;FMO;EDDG;1,0
342;Hamburg Airport;Hamburg;Germany;HAM;EDDH;1,0
343;Berlin-Tempelhof International Airport;Berlin;Germany;THF;EDDI;1,0
344;Cologne Bonn Airport;Cologne;Germany;CGN;EDDK;1,0
345;Düsseldorf International Airport;Duesseldorf;Germany;DUS;EDDL;1,0
346;Munich International Airport;Munich;Germany;MUC;EDDM;1,0
347;Nuremberg Airport;Nuernberg;Germany;NUE;EDDN;1,0
348;Leipzig Halle Airport;Leipzig;Germany;LEJ;EDDP;1,0
349;Saarbrücken Airport;Saarbruecken;Germany;SCN;EDDR;1,0
350;Stuttgart Airport;Stuttgart;Germany;STR;EDDS;1,0
351;Berlin-Tegel International Airport;Berlin;Germany;TXL;EDDT;1,0
352;Hannover Airport;Hannover;Germany;HAJ;EDDV;1,0
353;Bremen Airport;Bremen;Germany;BRE;EDDW;1,0
354;Frankfurt-Egelsbach Airport;Egelsbach;Germany;QEF;EDFE;1,0
355;Frankfurt-Hahn Airport;Hahn;Germany;HHN;EDFH;1,0
356;Mannheim-City Airport;Mannheim;Germany;MHG;EDFM;1,0
357;Allendorf/Eder Airport;Allendorf;Germany;Null;EDFQ;1,0
358;Worms Airport;Worms;Germany;Null;EDFV;1,0
359;Mainz-Finthen Airport;Mainz;Germany;Null;EDFZ;1,0
360;Eisenach-Kindel Airport;Eisenach;Germany;Null;EDGE;1,0
361;Siegerland Airport;Siegerland;Germany;Null;EDGS;1,0
362;Hamburg-Finkenwerder Airport;Hamburg;Germany;XFW;EDHI;1,0
363;Kiel-Holtenau Airport;Kiel;Germany;KEL;EDHK;1,0
364;Lübeck Blankensee Airport;Luebeck;Germany;LBC;EDHL;1,0
365;Flugplatz Dahlemer Binz;Dahlemer Binz;Germany;Null;EDKV;1,0
366;Meinerzhagen Airport;Meinerzhagen;Germany;Null;EDKZ;1,0
367;Arnsberg-Menden Airport;Arnsberg;Germany;ZCA;EDLA;1,0
368;Essen Mulheim Airport;Essen;Germany;ESS;EDLE;1,0
369;Bielefeld Airport;Bielefeld;Germany;Null;EDLI;1,0
370;Mönchengladbach Airport;Moenchengladbach;Germany;MGL;EDLN;1,0
371;Paderborn Lippstadt Airport;Paderborn;Germany;PAD;EDLP;1,0
372;Stadtlohn-Vreden Airport;Stadtlohn;Germany;Null;EDLS;1,0
